"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2014/11/01","00:00","2.556","1.988","1.559","0.978","0.957","0.355","0.177","-0.069","0"
"2014/12/01","00:00","2.612","1.965","1.5","0.922","0.899","0.299","0.079","-0.164","0"
"2015/01/01","00:00","2.52","1.854","1.372","0.774","0.755","0.138","-0.069","-0.436","0"
"2015/02/01","00:00","2.431","1.969","1.588","1.007","0.991","0.394","0.24","-0.036","0"
"2015/03/01","00:00","2.146","1.847","1.539","0.929","0.922","0.305","0.217","-0.164","0"
"2015/04/01","00:00","2.336","1.824","1.516","0.909","0.893","0.269","0.154","-0.164","0"
"2015/05/01","00:00","2.477","2.038","1.618","1.001","0.978","0.338","0.145","-0.115","0"
"2015/06/01","00:00","2.569","2.106","1.598","0.998","0.968","0.338","0.108","-0.124","0"
"2015/07/01","00:00","2.526","1.851","1.385","0.797","0.783","0.181","-0.019","-0.226","0"
"2015/08/01","00:00","2.438","1.89","1.483","0.909","0.898","0.312","0.174","-0.049","0"
"2015/09/01","00:00","2.277","1.936","1.647","1.034","1.037","0.427","0.302","0.043","0"
"2015/10/01","00:00","2.487","2.09","1.719","1.086","1.073","0.427","0.305","0.053","0"
"2015/11/01","00:00","2.517","1.946","1.496","0.939","0.917","0.338","0.164","-0.134","0"
"2015/12/01","00:00","2.53","1.988","1.486","0.916","0.904","0.322","0.112","-0.223","0"
"2016/01/01","00:00","2.681","2.116","1.664","1.04","1.027","0.391","0.187","-0.095","0"
"2016/02/01","00:00","2.72","2.159","1.782","1.093","1.089","0.397","0.23","0.007","0"
"2016/03/01","00:00","2.31","1.782","1.431","0.843","0.825","0.22","0.128","-0.443","0"
"2016/04/01","00:00","2.385","2.051","1.713","1.06","1.044","0.377","0.246","-0.357","0"
"2016/05/01","00:00","2.766","2.143","1.723","1.05","1.039","0.355","0.161","-0.164","0"
"2016/06/01","00:00","3.005","2.313","1.805","1.126","1.109","0.414","0.171","-0.029","0"
"2016/07/01","00:00","2.969","2.264","1.739","1.139","1.116","0.492","0.279","0.04","0"
"2016/08/01","00:00","2.69","2.241","1.828","1.158","1.139","0.453","0.289","0.036","0"
"2016/09/01","00:00","2.628","2.32","1.988","1.329","1.322","0.656","0.571","0.273","0"
"2016/10/01","00:00","2.861","2.316","1.982","1.326","1.317","0.653","0.512","0.148","0"
"2016/11/01","00:00","2.881","2.297","1.824","1.139","1.119","0.414","0.223","-0.105","0"
"2016/12/01","00:00","2.897","2.392","1.844","1.103","1.091","0.338","0.118","-0.226","0"
"2017/01/01","00:00","2.805","2.156","1.664","0.968","0.957","0.25","0.063","-0.2","0"
"2017/02/01","00:00","2.763","2.162","1.762","1.096","1.088","0.414","0.25","-0.046","0"
"2017/03/01","00:00","2.52","2.12","1.815","1.148","1.135","0.456","0.348","0.174","0"
"2017/04/01","00:00","3.078","2.389","2.018","1.385","1.368","0.719","0.584","0.269","0"
"2017/05/01","00:00","3.081","2.54","2.061","1.358","1.339","0.617","0.443","-0.069","0"
"2017/06/01","00:00","3.147","2.405","1.89","1.168","1.153","0.417","0.22","-0.092","0"
"2017/07/01","00:00","2.861","2.271","1.788","1.152","1.139","0.489","0.253","-0.075","0"
"2017/08/01","00:00","3.294","2.638","2.218","1.588","1.568","0.919","0.729","0.515","0"
"2017/09/01","00:00","2.756","2.451","2.097","1.401","1.386","0.676","0.574","0.325","0"
"2017/10/01","00:00","2.733","2.353","1.988","1.319","1.308","0.627","0.519","0.204","0"
"2017/11/01","00:00","2.917","2.336","1.91","1.244","1.231","0.551","0.387","0.158","0"
"2017/12/01","00:00","2.969","2.362","1.828","1.198","1.176","0.525","0.295","-0.17","0"
"2018/01/01","00:00","3.019","2.395","1.857","1.155","1.137","0.417","0.23","-0.167","0"
"2018/02/01","00:00","2.822","1.972","1.536","0.975","0.96","0.384","0.256","-0.059","0"
"2018/03/01","00:00","2.202","1.742","1.447","0.889","0.876","0.305","0.227","-0.105","0"
"2018/04/01","00:00","2.08","1.788","1.45","0.883","0.871","0.292","0.174","-0.075","0"
"2018/05/01","00:00","2.389","1.887","1.457","0.827","0.809","0.161","-0.006","-0.226","0"
"2018/06/01","00:00","2.874","2.149","1.634","1.007","0.984","0.335","0.125","-0.108","0"
"2018/07/01","00:00","2.963","2.284","1.755","1.119","1.098","0.44","0.253","-0.046","0"
"2018/08/01","00:00","2.94","2.356","1.91","1.283","1.27","0.63","0.46","0.19","0"
"2018/09/01","00:00","2.868","2.277","1.906","1.283","1.272","0.637","0.538","0.204","0"
"2018/10/01","00:00","2.53","2.179","1.828","1.194","1.194","0.561","0.463","0.204","0"
"2018/11/01","00:00","2.53","2.024","1.618","1.017","1.011","0.404","0.233","-0.062","0"
"2018/12/01","00:00","2.743","2.008","1.5","0.886","0.87","0.24","0.033","-0.239","0"
"2019/01/01","00:00","2.75","2.077","1.509","0.942","0.902","0.295","0.089","-0.269","0"
"2019/02/01","00:00","2.431","1.837","1.391","0.781","0.766","0.141","0.007","-0.433","0"
"2019/03/01","00:00","2.169","1.769","1.372","0.752","0.737","0.102","0","-0.233","0"
"2019/04/01","00:00","2.29","1.903","1.519","0.886","0.871","0.223","0.092","-0.252","0"
"2019/05/01","00:00","2.559","2.021","1.582","0.971","0.945","0.309","0.115","-0.049","0"
"2019/06/01","00:00","2.408","1.962","1.411","0.85","0.819","0.227","-0.006","-0.223","0"
