"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2011/04/01","00:00","6.375","4.97","4.383","2.608","2.641","0.899","-0.03","-1.237","0"
"2011/05/01","00:00","6.85","5.217","4.439","2.671","2.708","0.978","-0.2","-1.302","0"
"2011/06/01","00:00","6.575","5.522","4.629","2.841","2.877","1.125","-0.138","-1.368","0"
"2011/07/01","00:00","6.43","5.676","4.797","2.979","2.99","1.184","0.023","-1.053","0"
"2011/08/01","00:00","6.086","5.43","4.731","2.92","2.933","1.135","0.256","-0.505","0"
"2011/09/01","00:00","6.404","5.387","4.806","3.002","3.022","1.237","0.427","-0.4","0"
"2011/10/01","00:00","6.67","5.305","4.738","2.923","2.958","1.178","0.112","-1.302","0"
"2011/11/01","00:00","7.077","5.344","4.639","2.812","2.853","1.066","-0.177","-1.9","0"
"2011/12/01","00:00","6.434","5.367","4.514","2.73","2.762","1.01","-0.243","-1.942","0"
"2012/01/01","00:00","6.539","5.361","4.488","2.717","2.743","0.997","-0.089","-1.309","0"
"2012/02/01","00:00","6.398","5.184","4.423","2.635","2.649","0.876","-0.016","-1.06","0"
"2012/03/01","00:00","5.633","4.944","4.354","2.625","2.646","0.938","0.059","-0.656","0"
"2012/04/01","00:00","6.194","4.941","4.409","2.612","2.648","0.886","-0.112","-1.096","0"
"2012/05/01","00:00","6.457","5.105","4.413","2.605","2.635","0.856","-0.23","-1.729","0"
"2012/06/01","00:00","6.604","5.509","4.639","2.812","2.841","1.043","-0.187","-2.083","0"
"2012/07/01","00:00","6.716","5.623","4.728","2.884","2.9","1.073","-0.089","-1.604","0"
"2012/08/01","00:00","6.43","5.581","4.869","3.038","3.045","1.22","0.315","-1.112","0"
"2012/09/01","00:00","5.748","5.292","4.816","3.038","3.054","1.293","0.568","-0.013","0"
"2012/10/01","00:00","6.535","5.361","4.849","3.048","3.081","1.312","0.374","-0.725","0"
"2012/11/01","00:00","6.67","5.495","4.78","2.969","3.012","1.243","0.043","-1.532","0"
"2012/12/01","00:00","7.3","5.676","4.852","3.028","3.068","1.283","0","-1.414","0"
"2013/01/01","00:00","6.621","5.269","4.465","2.654","2.667","0.873","-0.21","-1.969","0"
"2013/02/01","00:00","6.289","5.079","4.36","2.569","2.572","0.787","-0.039","-1.289","0"
"2013/03/01","00:00","5.705","4.921","4.37","2.569","2.585","0.797","0.046","-0.794","0"
"2013/04/01","00:00","5.991","4.957","4.419","2.595","2.628","0.837","-0.154","-1.355","0"
"2013/05/01","00:00","6.296","5.144","4.465","2.618","2.657","0.85","-0.276","-1.808","0"
"2013/06/01","00:00","6.709","5.413","4.596","2.792","2.817","1.037","-0.072","-1.693","0"
"2013/07/01","00:00","6.913","5.577","4.731","2.963","2.976","1.224","0.197","-1.253","0"
"2013/08/01","00:00","6.506","5.404","4.675","2.923","2.935","1.194","0.315","-0.748","0"
"2013/09/01","00:00","5.814","5.302","4.793","3.041","3.058","1.322","0.571","-0.144","0"
"2013/10/01","00:00","6.027","5.236","4.8","3.018","3.041","1.283","0.459","-0.062","0"
"2013/11/01","00:00","6.28","5.459","4.76","2.94","2.971","1.181","0.059","-1.073","0"
"2013/12/01","00:00","6.841","5.594","4.711","2.867","2.89","1.073","-0.197","-1.581","0"
"2014/01/01","00:00","6.969","5.696","4.82","2.94","2.972","1.122","-0.059","-1.529","0"
"2014/02/01","00:00","6.818","5.249","4.554","2.779","2.779","1.004","0.174","-1.073","0"
"2014/03/01","00:00","6.572","5.144","4.675","2.838","2.851","1.027","0.341","-0.262","0"
"2014/04/01","00:00","5.906","5.144","4.623","2.822","2.844","1.066","0.2","-0.702","0"
"2014/05/01","00:00","6.243","5.361","4.656","2.841","2.874","1.093","-0.013","-0.879","0"
"2014/06/01","00:00","6.572","5.574","4.783","2.989","3.018","1.25","0.118","-1.198","0"
"2014/07/01","00:00","6.926","5.709","4.944","3.169","3.189","1.434","0.4","-1.033","0"
"2014/08/01","00:00","6.614","5.604","4.928","3.173","3.179","1.43","0.682","-0.892","0"
"2014/09/01","00:00","6.447","5.679","5.164","3.379","3.396","1.627","0.909","-0.112","0"
"2014/10/01","00:00","6.568","5.709","5.249","3.406","3.443","1.637","0.735","-0.049","0"
"2014/11/01","00:00","6.309","5.584","4.987","3.11","3.145","1.302","0.249","-0.991","0"
"2014/12/01","00:00","7.152","6.083","5.269","3.389","3.407","1.545","0.423","-1.053","0"
"2015/01/01","00:00","6.736","5.797","4.967","3.117","3.128","1.289","0.187","-1.115","0"
"2015/02/01","00:00","6.283","5.531","4.875","3.074","3.089","1.302","0.469","-0.896","0"
"2015/03/01","00:00","5.863","5.105","4.682","2.904","2.917","1.152","0.427","-0.305","0"
"2015/04/01","00:00","6.296","4.987","4.567","2.779","2.803","1.04","0.262","-0.584","0"
"2015/05/01","00:00","6.365","5.384","4.747","2.956","2.986","1.224","0.233","-0.991","0"
"2015/06/01","00:00","6.732","5.62","4.852","3.064","3.092","1.332","0.2","-0.817","0"
"2015/07/01","00:00","6.693","5.912","5.112","3.287","3.302","1.493","0.397","-0.712","0"
"2015/08/01","00:00","6.614","5.679","5.049","3.212","3.215","1.381","0.538","-0.522","0"
"2015/09/01","00:00","6.732","5.833","5.39","3.56","3.578","1.765","1.096","0.554","0"
"2015/10/01","00:00","6.85","5.771","5.358","3.52","3.55","1.742","0.85","-0.509","0"
"2015/11/01","00:00","7.169","5.676","5.069","3.222","3.263","1.457","0.348","-0.728","0"
"2015/12/01","00:00","6.985","5.823","5.072","3.238","3.266","1.46","0.276","-1.214","0"
"2016/01/01","00:00","6.529","5.712","4.944","3.143","3.161","1.378","0.331","-0.817","0"
"2016/02/01","00:00","6.414","5.43","4.721","2.959","2.949","1.178","0.328","-0.719","0"
"2016/03/01","00:00","6.312","5.194","4.744","2.966","2.995","1.247","0.476","-0.443","0"
"2016/04/01","00:00","6.243","4.902","4.459","2.644","2.674","0.889","-0.02","-0.512","0"
"2016/05/01","00:00","6.578","5.223","4.642","2.818","2.848","1.053","0.036","-1.184","0"
"2016/06/01","00:00","6.742","5.482","4.701","2.874","2.895","1.089","-0.003","-1.178","0"
"2016/07/01","00:00","6.683","5.653","4.816","2.963","2.981","1.145","0.046","-1.122","0"
"2016/08/01","00:00","6.68","5.686","4.984","3.14","3.148","1.312","0.394","-0.597","0"
"2016/09/01","00:00","6.066","5.394","4.954","3.146","3.161","1.368","0.656","0.003","0"
"2016/10/01","00:00","6.394","5.285","4.892","3.091","3.117","1.342","0.577","-0.627","0"
"2016/11/01","00:00","6.732","5.456","4.862","3.041","3.087","1.312","0.226","-1.266","0"
"2016/12/01","00:00","7.064","5.594","4.79","2.946","2.979","1.168","-0.052","-1.512","0"
"2017/01/01","00:00","7.224","5.791","5","3.156","3.181","1.362","0.236","-1.04","0"
"2017/02/01","00:00","6.745","5.627","4.957","3.166","3.179","1.401","0.512","-0.768","0"
"2017/03/01","00:00","5.627","5.115","4.636","2.812","2.83","1.024","0.335","-0.65","0"
"2017/04/01","00:00","6.079","5.003","4.554","2.73","2.764","0.974","0.062","-1.184","0"
"2017/05/01","00:00","6.778","5.259","4.675","2.831","2.879","1.083","-0.033","-1.48","0"
"2017/06/01","00:00","7.028","5.509","4.767","2.956","2.982","1.198","0.049","-1.339","0"
"2017/07/01","00:00","6.923","5.627","4.813","3.035","3.051","1.289","0.272","-1.188","0"
