"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2009/04/01","00:00","2.484","2.005","1.919","0.899","0.928","-0.062","-0.217","-0.633","0"
"2009/05/01","00:00","2.877","2.244","2.162","1.132","1.153","0.144","0.01","-0.482","0"
"2009/06/01","00:00","3.048","2.493","2.421","1.375","1.399","0.377","0.243","-0.154","0"
"2009/07/01","00:00","2.71","2.142","2.087","1.083","1.107","0.128","-0.016","-0.387","0"
"2009/08/01","00:00","3.156","2.372","2.31","1.296","1.324","0.338","0.213","-0.171","0"
"2009/09/01","00:00","3.622","2.982","2.936","1.896","1.923","0.909","0.804","0.433","0"
"2009/10/01","00:00","3.461","2.825","2.766","1.729","1.755","0.745","0.64","0.049","0"
"2009/11/01","00:00","3.468","3.012","2.959","1.886","1.921","0.883","0.738","0.207","0"
"2009/12/01","00:00","3.11","2.618","2.536","1.48","1.512","0.489","0.344","-0.131","0"
"2010/01/01","00:00","2.762","2.211","2.149","1.079","1.114","0.079","-0.056","-0.492","0"
"2010/02/01","00:00","2.91","2.29","2.234","1.194","1.229","0.223","0.092","-0.217","0"
"2010/03/01","00:00","2.772","2.116","2.067","0.997","1.03","-0.007","-0.115","-0.748","0"
"2010/04/01","00:00","2.457","2.149","2.087","1.043","1.078","0.069","-0.056","-0.509","0"
"2010/05/01","00:00","2.595","2.208","2.136","1.112","1.142","0.148","0.013","-0.394","0"
"2010/06/01","00:00","2.904","2.297","2.218","1.204","1.232","0.246","0.108","-0.167","0"
"2010/07/01","00:00","2.969","2.306","2.231","1.207","1.242","0.253","0.135","-0.098","0"
"2010/08/01","00:00","2.897","2.303","2.251","1.234","1.261","0.272","0.148","-0.157","0"
"2010/09/01","00:00","3.228","2.795","2.74","1.69","1.721","0.702","0.577","0.105","0"
"2010/10/01","00:00","3.747","2.687","2.628","1.572","1.608","0.587","0.466","-0.377","0"
"2010/11/01","00:00","2.986","2.579","2.526","1.457","1.491","0.456","0.312","-0.41","0"
"2010/12/01","00:00","2.592","2.254","2.175","1.112","1.152","0.128","-0.033","-0.594","0"
"2011/01/01","00:00","2.556","1.854","1.785","0.755","0.792","-0.2","-0.351","-0.791","0"
"2011/02/01","00:00","2.323","1.814","1.749","0.728","0.756","-0.236","-0.367","-0.738","0"
"2011/03/01","00:00","2.329","1.972","1.919","0.886","0.924","-0.072","-0.187","-0.745","0"
"2011/04/01","00:00","2.602","2.024","1.972","0.938","0.969","-0.033","-0.164","-0.666","0"
"2011/05/01","00:00","3.031","2.185","2.116","1.076","1.107","0.098","-0.043","-0.436","0"
"2011/06/01","00:00","2.792","2.306","2.254","1.224","1.245","0.236","0.098","-0.522","0"
"2011/07/01","00:00","2.71","2.297","2.241","1.201","1.224","0.207","0.066","-0.387","0"
"2011/08/01","00:00","3.419","2.608","2.575","1.49","1.521","0.466","0.364","-0.069","0"
"2011/09/01","00:00","3.143","2.674","2.635","1.555","1.583","0.531","0.436","-0.036","0"
"2011/10/01","00:00","3.281","2.848","2.789","1.696","1.732","0.676","0.548","0","0"
"2011/11/01","00:00","3.33","2.841","2.769","1.696","1.727","0.686","0.558","-0.164","0"
"2011/12/01","00:00","3.009","2.408","2.339","1.293","1.319","0.299","0.187","-0.663","0"
"2012/01/01","00:00","2.428","1.969","1.906","0.886","0.917","-0.072","-0.2","-0.568","0"
"2012/02/01","00:00","3.054","2.369","2.323","1.266","1.298","0.272","0.161","-0.223","0"
"2012/03/01","00:00","2.89","2.238","2.172","1.152","1.181","0.19","0.072","-0.194","0"
"2012/04/01","00:00","2.986","2.385","2.323","1.266","1.296","0.269","0.161","-0.259","0"
"2012/05/01","00:00","3.015","2.552","2.474","1.404","1.435","0.397","0.269","-0.256","0"
"2012/06/01","00:00","3.041","2.717","2.644","1.565","1.601","0.558","0.423","-0.308","0"
"2012/07/01","00:00","2.904","2.444","2.395","1.325","1.36","0.325","0.194","-0.049","0"
"2012/08/01","00:00","3.356","2.513","2.457","1.401","1.432","0.407","0.295","-0.154","0"
"2012/09/01","00:00","2.999","2.536","2.487","1.427","1.465","0.443","0.348","-0.171","0"
"2012/10/01","00:00","4.14","2.887","2.808","1.755","1.786","0.764","0.653","-0.098","0"
"2012/11/01","00:00","3.586","3.133","3.084","1.988","2.023","0.961","0.85","0.164","0"
"2012/12/01","00:00","3.245","2.562","2.51","1.437","1.47","0.43","0.312","-0.295","0"
"2013/01/01","00:00","2.986","2.339","2.283","1.224","1.253","0.223","0.118","-0.262","0"
"2013/02/01","00:00","2.762","2.283","2.224","1.165","1.201","0.177","0.072","-0.22","0"
"2013/03/01","00:00","3.363","2.523","2.457","1.358","1.394","0.331","0.233","-0.259","0"
"2013/04/01","00:00","2.986","2.3","2.238","1.171","1.204","0.171","0.046","-0.328","0"
"2013/05/01","00:00","2.949","2.552","2.48","1.398","1.43","0.381","0.276","-0.174","0"
"2013/06/01","00:00","2.641","2.231","2.162","1.112","1.145","0.128","0.007","-0.397","0"
"2013/07/01","00:00","2.933","2.47","2.418","1.378","1.404","0.394","0.299","-0.148","0"
"2013/08/01","00:00","3.117","2.418","2.379","1.342","1.375","0.371","0.262","-0.085","0"
"2013/09/01","00:00","3.323","2.785","2.749","1.683","1.716","0.682","0.597","0.197","0"
"2013/10/01","00:00","3.714","3.068","3.015","1.936","1.965","0.919","0.837","0.443","0"
"2013/11/01","00:00","3.478","2.946","2.881","1.798","1.831","0.781","0.676","0.049","0"
"2013/12/01","00:00","3.497","2.572","2.493","1.404","1.437","0.377","0.256","-0.115","0"
"2014/01/01","00:00","3.123","2.52","2.438","1.332","1.368","0.299","0.187","-0.246","0"
"2014/02/01","00:00","3.15","2.546","2.5","1.411","1.447","0.394","0.282","-0.138","0"
