"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2007/05/01","00:00","2.733","1.978","1.909","1.388","1.329","0.748","0.489","-0.666","0"
"2007/06/01","00:00","2.487","1.762","1.706","1.122","1.076","0.446","0.148","-0.863","0"
"2007/07/01","00:00","2.172","1.542","1.516","0.932","0.91","0.305","0.003","-0.988","0"
"2007/08/01","00:00","2.5","1.709","1.66","1.148","1.129","0.597","0.322","-0.751","0"
"2007/09/01","00:00","2.884","1.991","1.965","1.447","1.471","0.978","0.607","-0.243","0"
"2007/10/01","00:00","3.133","2.139","2.041","1.565","1.455","0.869","0.656","-1.394","0"
"2007/11/01","00:00","3.038","1.588","1.581","0.974","1.007","0.433","0.062","-1.667","0"
"2007/12/01","00:00","1.998","1.237","1.165","0.571","0.587","0.01","-0.371","-2.648","0"
"2008/01/01","00:00","2.5","1.476","1.391","0.81","0.814","0.236","-0.164","-2.1","0"
"2008/02/01","00:00","2.188","1.204","1.165","0.577","0.592","0.02","-0.404","-1.772","0"
"2008/03/01","00:00","2.697","1.283","1.148","0.574","0.564","-0.02","-0.344","-2.726","0"
"2008/04/01","00:00","2.749","1.598","1.512","0.981","0.943","0.374","0.148","-1.207","0"
"2008/05/01","00:00","2.638","1.795","1.755","1.201","1.22","0.686","0.262","-0.696","0"
"2008/06/01","00:00","2.52","1.686","1.65","1.056","0.983","0.315","0.072","-0.771","0"
"2008/07/01","00:00","2.411","1.621","1.637","1.01","1.045","0.453","0.062","-0.833","0"
"2008/08/01","00:00","1.811","1.237","1.217","0.636","0.696","0.174","-0.302","-1.302","0"
"2008/10/01","00:00","2.785","2.021","2.011","1.493","1.468","0.925","0.659","-0.312","0"
"2008/11/01","00:00","2.648","1.611","1.614","0.994","1.006","0.397","0.062","-1.841","0"
"2008/12/01","00:00","2.185","1.188","1.089","0.518","0.49","-0.108","-0.43","-3.186","0"
"2009/01/01","00:00","1.44","0.827","0.797","0.213","0.271","-0.256","-0.728","-2.264","0"
"2009/02/01","00:00","1.982","1.194","1.115","0.568","0.587","0.059","-0.364","-1.293","0"
"2009/03/01","00:00","2.477","1.309","1.273","0.712","0.737","0.2","-0.253","-2.07","0"
"2009/04/01","00:00","3.494","1.457","1.309","0.797","0.704","0.098","-0.151","-1.526","0"
"2009/05/01","00:00","2.454","1.736","1.713","1.152","1.156","0.6","0.325","-0.417","0"
"2009/06/01","00:00","2.149","1.66","1.585","1.047","0.963","0.341","0.174","-0.499","0"
"2009/07/01","00:00","2.034","1.48","1.427","0.912","0.853","0.279","0.02","-0.61","0"
"2009/08/01","00:00","2.303","1.749","1.729","1.234","1.219","0.709","0.404","-0.338","0"
"2009/09/01","00:00","2.831","2.165","2.087","1.654","1.631","1.175","0.889","0.282","0"
"2009/10/01","00:00","3.343","2.254","2.175","1.699","1.673","1.171","0.909","0.02","0"
"2009/11/01","00:00","3.517","2.156","2.047","1.552","1.432","0.817","0.65","-1.148","0"
"2009/12/01","00:00","3.209","1.86","1.795","1.158","1.179","0.564","0.157","-2.07","0"
"2010/01/01","00:00","2.867","1.368","1.224","0.676","0.615","0.007","-0.285","-1.811","0"
"2010/02/01","00:00","2.874","1.47","1.322","0.791","0.74","0.157","-0.102","-1.411","0"
"2010/03/01","00:00","2.08","0.981","0.863","0.394","0.384","-0.095","-0.463","-2.972","0"
"2010/04/01","00:00","2.575","1.558","1.46","1.001","0.922","0.384","0.148","-0.994","0"
"2010/05/01","00:00","2.516","1.785","1.709","1.194","1.155","0.6","0.318","-0.42","0"
"2010/06/01","00:00","3.245","1.804","1.719","1.234","1.12","0.522","0.328","-0.157","0"
"2010/07/01","00:00","3.743","2.159","2.044","1.634","1.463","0.883","0.81","-0.279","0"
"2010/08/01","00:00","2.343","1.69","1.673","1.175","1.189","0.705","0.371","-0.325","0"
"2010/09/01","00:00","3.281","2.434","2.395","1.906","1.9","1.404","1.106","0.003","0"
"2010/10/01","00:00","2.175","1.67","1.611","1.122","1.086","0.561","0.285","-0.446","0"
"2010/11/01","00:00","2.369","1.627","1.522","1.04","0.928","0.335","0.148","-0.932","0"
"2010/12/01","00:00","2.018","1.161","1.063","0.489","0.463","-0.138","-0.531","-1.778","0"
"2011/01/01","00:00","2.47","1.05","1.004","0.397","0.428","-0.148","-0.574","-1.503","0"
"2011/02/01","00:00","1.467","0.846","0.768","0.246","0.256","-0.256","-0.65","-1.709","0"
"2011/03/01","00:00","1.985","1.371","1.289","0.784","0.791","0.292","-0.033","-0.935","0"
"2011/04/01","00:00","2.516","1.617","1.512","1.027","1.012","0.512","0.233","-0.981","0"
"2011/05/01","00:00","2.595","1.762","1.673","1.188","1.117","0.561","0.308","-0.604","0"
"2011/06/01","00:00","2.119","1.699","1.634","1.047","0.963","0.292","0.095","-0.892","0"
"2011/07/01","00:00","2.238","1.519","1.486","0.942","0.951","0.417","0.026","-0.692","0"
"2011/08/01","00:00","1.69","1.335","1.27","0.804","0.791","0.312","0","-0.623","0"
"2011/09/01","00:00","2.913","1.516","1.473","0.958","1.009","0.545","0.161","-1.385","0"
"2011/10/01","00:00","3.009","1.729","1.67","1.178","1.17","0.669","0.269","-1.089","0"
"2011/11/01","00:00","2.415","1.68","1.496","1.024","0.988","0.479","0.131","-1.926","0"
"2011/12/01","00:00","2.329","1.604","1.509","0.997","1.033","0.558","0.115","-1.614","0"
"2012/01/01","00:00","1.972","1.138","1.122","0.535","0.568","0.013","-0.456","-2.162","0"
"2012/02/01","00:00","2.441","1.473","1.401","0.925","0.876","0.351","0.049","-1.299","0"
"2012/03/01","00:00","2.907","1.716","1.683","1.155","1.188","0.692","0.364","-0.722","0"
"2012/04/01","00:00","2.844","1.824","1.788","1.276","1.316","0.843","0.476","-0.253","0"
"2012/05/01","00:00","2.635","1.713","1.611","1.152","1.106","0.6","0.305","-0.653","0"
"2012/06/01","00:00","2.802","2.051","1.998","1.48","1.491","0.984","0.594","-0.659","0"
"2012/07/01","00:00","2.575","1.742","1.713","1.145","1.135","0.558","0.23","-0.377","0"
"2012/08/01","00:00","2.26","1.663","1.575","1.109","1.078","0.581","0.295","-1.063","0"
"2012/09/01","00:00","2.434","1.841","1.788","1.348","1.35","0.912","0.64","-0.033","0"
"2012/10/01","00:00","2.421","1.765","1.667","1.191","1.166","0.666","0.41","-0.961","0"
"2012/11/01","00:00","2.671","1.722","1.68","1.142","1.168","0.656","0.243","-0.64","0"
"2012/12/01","00:00","2.011","1.401","1.237","0.758","0.689","0.141","-0.194","-2.247","0"
"2013/01/01","00:00","2.762","1.302","1.23","0.709","0.719","0.207","-0.213","-0.932","0"
"2013/02/01","00:00","2.434","1.45","1.28","0.823","0.781","0.282","-0.003","-1.903","0"
"2013/03/01","00:00","2.205","1.28","1.234","0.751","0.781","0.328","-0.089","-1.67","0"
"2013/04/01","00:00","2.631","1.896","1.729","1.234","1.232","0.735","0.417","-0.738","0"
"2013/05/01","00:00","2.516","1.742","1.647","1.138","1.07","0.492","0.325","-1.148","0"
"2013/06/01","00:00","2.277","1.568","1.522","0.961","0.988","0.453","0.01","-0.84","0"
"2013/07/01","00:00","2.346","1.647","1.581","1.099","1.076","0.571","0.256","-0.476","0"
"2013/08/01","00:00","2.343","1.68","1.686","1.148","1.189","0.692","0.344","-0.548","0"
"2013/09/01","00:00","2.805","2.113","2.047","1.617","1.586","1.125","0.86","0.374","0"
"2013/10/01","00:00","2.812","2.1","2.054","1.614","1.629","1.204","0.919","0.223","0"
"2013/11/01","00:00","3.038","2.008","1.998","1.516","1.485","0.971","0.682","-0.758","0"
"2013/12/01","00:00","2.208","1.453","1.345","0.84","0.869","0.394","-0.082","-1.407","0"
"2014/01/01","00:00","1.837","1.165","1.086","0.522","0.495","-0.095","-0.479","-1.68","0"
"2014/02/01","00:00","1.824","1.22","1.155","0.679","0.656","0.157","-0.144","-0.791","0"
"2014/03/01","00:00","2.523","1.342","1.312","0.823","0.874","0.436","0.046","-0.636","0"
"2014/04/01","00:00","2.621","1.634","1.503","1.05","1.05","0.597","0.249","-1.22","0"
"2014/05/01","00:00","2.923","1.824","1.752","1.178","1.217","0.682","0.325","-1.138","0"
"2014/06/01","00:00","2.533","1.886","1.798","1.296","1.296","0.794","0.446","-0.453","0"
"2014/07/01","00:00","1.719","1.348","1.293","0.801","0.819","0.344","0.013","-0.597","0"
"2014/08/01","00:00","2.582","1.588","1.535","1.073","1.104","0.673","0.335","-0.568","0"
"2014/09/01","00:00","2.638","2.178","2.106","1.69","1.672","1.237","0.965","0.246","0"
"2014/10/01","00:00","2.53","1.88","1.791","1.375","1.358","0.925","0.607","-0.83","0"
"2014/11/01","00:00","2.799","1.699","1.631","1.152","1.194","0.758","0.384","-0.577","0"
"2014/12/01","00:00","2.201","1.631","1.539","1.086","1.053","0.568","0.272","-1.45","0"
"2015/01/01","00:00","2.238","1.253","1.175","0.673","0.663","0.151","-0.203","-1.112","0"
"2015/02/01","00:00","2.169","1.381","1.286","0.807","0.817","0.348","0.003","-1.024","0"
"2015/03/01","00:00","2.024","1.217","1.155","0.738","0.719","0.282","0.026","-0.892","0"
"2015/04/01","00:00","2.575","1.736","1.65","1.211","1.216","0.781","0.531","-0.335","0"
"2015/05/01","00:00","2.74","2.169","2.054","1.604","1.547","1.04","0.814","-0.043","0"
"2015/06/01","00:00","3.829","1.932","1.913","1.325","1.283","0.653","0.509","-0.443","0"
"2015/07/01","00:00","2.077","1.562","1.549","1.007","1.001","0.453","0.138","-1.181","0"
"2015/08/01","00:00","2.172","1.736","1.68","1.234","1.263","0.846","0.44","-0.223","0"
"2015/09/01","00:00","3.048","2.133","2.123","1.677","1.698","1.273","0.951","0.03","0"
"2015/10/01","00:00","3.858","2.448","2.336","1.919","1.883","1.43","1.135","-1.043","0"
"2015/11/01","00:00","3.1","2.461","2.402","1.965","1.896","1.391","1.188","0.335","0"
"2015/12/01","00:00","3.494","2.218","2.051","1.608","1.55","1.05","0.787","-0.873","0"
"2016/01/01","00:00","3.068","1.877","1.66","1.243","1.119","0.577","0.433","-2.26","0"
"2016/02/01","00:00","2.3","1.437","1.257","0.81","0.758","0.259","0.016","-2.425","0"
"2016/03/01","00:00","3.123","1.942","1.893","1.401","1.411","0.928","0.614","-0.472","0"
"2016/04/01","00:00","3.668","2.346","2.241","1.827","1.796","1.352","1.093","0.016","0"
"2016/05/01","00:00","3.599","2.395","2.316","1.827","1.836","1.355","1.089","0.282","0"
"2016/06/01","00:00","2.844","2.113","2.037","1.575","1.54","1.043","0.761","-0.016","0"
"2016/07/01","00:00","2.336","1.87","1.804","1.302","1.255","0.705","0.446","-0.387","0"
"2016/08/01","00:00","2.979","2.073","2.034","1.601","1.634","1.234","0.82","0.075","0"
"2016/09/01","00:00","3.025","2.441","2.365","1.995","1.952","1.539","1.289","0.577","0"
"2016/10/01","00:00","2.946","2.493","2.431","2.021","2.008","1.585","1.348","0.942","0"
"2016/11/01","00:00","3.068","2.434","2.365","1.89","1.834","1.302","1.099","-0.026","0"
"2016/12/01","00:00","3.753","2.096","2.028","1.486","1.531","1.033","0.65","-0.417","0"
"2017/01/01","00:00","2.431","1.699","1.555","1.053","1.02","0.486","0.226","-2.323","0"
"2017/02/01","00:00","2.159","1.535","1.486","1.024","1.038","0.591","0.253","-0.715","0"
"2017/03/01","00:00","2.93","1.877","1.844","1.339","1.391","0.938","0.594","-0.049","0"
"2017/04/01","00:00","3.32","2.067","1.936","1.549","1.514","1.093","0.843","-0.482","0"
"2017/05/01","00:00","3.025","1.988","1.864","1.365","1.352","0.84","0.535","-0.594","0"
"2017/06/01","00:00","3.98","2.339","2.267","1.742","1.719","1.171","0.925","0.164","0"
"2017/07/01","00:00","1.985","1.709","1.647","1.175","1.147","0.646","0.361","-0.344","0"
"2017/08/01","00:00","4.009","2.247","2.129","1.68","1.624","1.119","0.892","-0.236","0"
"2017/09/01","00:00","2.808","2.247","2.195","1.778","1.742","1.289","1.076","0.135","0"
"2017/10/01","00:00","3.684","2.677","2.694","2.169","2.226","1.759","1.496","0.066","0"
"2017/11/01","00:00","2.592","2.096","2.044","1.572","1.606","1.168","0.833","0.02","0"
"2017/12/01","00:00","2.881","1.65","1.552","1.06","1.002","0.453","0.135","-0.65","0"
"2018/01/01","00:00","2.103","1.26","1.053","0.597","0.482","-0.089","-0.39","-2.064","0"
"2018/02/01","00:00","2.306","1.68","1.581","1.145","1.106","0.63","0.351","-0.738","0"
"2018/03/01","00:00","2.73","1.841","1.814","1.322","1.365","0.915","0.581","-0.417","0"
"2018/04/01","00:00","2.923","1.873","1.719","1.302","1.239","0.758","0.509","-0.846","0"
"2018/05/01","00:00","2.323","1.867","1.821","1.299","1.314","0.807","0.486","-0.41","0"
"2018/06/01","00:00","2.907","1.798","1.742","1.191","1.222","0.702","0.322","-0.449","0"
"2018/07/01","00:00","2.152","1.624","1.581","1.024","0.994","0.407","0.154","-0.82","0"
"2018/08/01","00:00","2.451","1.942","1.916","1.48","1.49","1.063","0.755","-0.016","0"
"2018/09/01","00:00","2.963","2.379","2.359","1.909","1.921","1.483","1.171","0.423","0"
"2018/10/01","00:00","3.842","2.756","2.776","2.231","2.244","1.713","1.421","-0.049","0"
"2018/11/01","00:00","3.179","1.995","1.909","1.375","1.385","0.86","0.571","-1.115","0"
"2018/12/01","00:00","3.323","1.877","1.831","1.171","1.268","0.705","0.318","-2.815","0"
"2019/01/01","00:00","2.674","1.614","1.499","0.981","0.901","0.302","0.092","-2.572","0"
"2019/02/01","00:00","3.232","2.041","1.959","1.522","1.514","1.07","0.725","-0.184","0"
"2019/03/01","00:00","2.91","1.985","1.893","1.414","1.385","0.876","0.614","-0.23","0"
