"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2008/07/01","00:00","4.006","1.296","1.115","0.833","0.797","0.479","0.443","-0.161","0"
"2008/08/01","00:00","3.888","1.25","1.115","0.873","0.843","0.571","0.476","-0.696","0"
"2008/09/01","00:00","1.47","0.686","0.581","0.344","0.322","0.062","-0.013","-0.984","0"
"2008/10/01","00:00","2.52","1.362","1.224","0.978","0.951","0.679","0.604","-0.344","0"
"2008/11/01","00:00","1.348","0.702","0.551","0.348","0.336","0.121","0.043","-0.804","0"
"2008/12/01","00:00","3.225","0.604","0.541","0.213","0.248","-0.046","-0.154","-1.362","0"
"2009/01/01","00:00","1.391","0.846","0.817","0.492","0.548","0.279","0.167","-0.564","0"
"2009/02/01","00:00","1.289","0.843","0.738","0.459","0.453","0.167","0.069","-0.682","0"
"2009/03/01","00:00","2.582","0.194","0.043","-0.19","-0.228","-0.499","-0.564","-1.286","0"
"2009/04/01","00:00","1.614","0.495","0.417","0.174","0.187","-0.043","-0.141","-0.945","0"
"2009/05/01","00:00","1.362","0.86","0.725","0.505","0.492","0.259","0.197","-0.659","0"
"2009/06/01","00:00","1.335","0.912","0.801","0.561","0.563","0.325","0.223","-0.531","0"
"2009/07/01","00:00","1.214","0.669","0.564","0.302","0.3","0.036","-0.062","-0.561","0"
"2009/08/01","00:00","2.47","1.558","1.424","1.142","1.158","0.892","0.764","-0.03","0"
"2009/09/01","00:00","2.513","1.066","0.938","0.65","0.628","0.318","0.207","-1.253","0"
"2009/10/01","00:00","1.667","0.63","0.489","0.243","0.221","-0.046","-0.207","-1.696","0"
"2009/11/01","00:00","1.276","0.623","0.482","0.259","0.258","0.033","-0.052","-0.965","0"
"2009/12/01","00:00","1.391","0.663","0.571","0.318","0.331","0.092","-0.016","-1.325","0"
"2010/01/01","00:00","1.598","0.771","0.692","0.404","0.428","0.164","0.062","-1.67","0"
"2010/02/01","00:00","1.066","0.545","0.463","0.213","0.223","-0.016","-0.095","-0.725","0"
"2010/03/01","00:00","1.266","0.722","0.633","0.377","0.381","0.128","0.082","-0.623","0"
"2010/04/01","00:00","1.46","0.932","0.817","0.594","0.586","0.354","0.289","-0.318","0"
"2010/05/01","00:00","1.115","0.253","0.125","-0.121","-0.121","-0.367","-0.44","-0.906","0"
"2010/06/01","00:00","1.568","0.889","0.794","0.577","0.573","0.351","0.276","-0.151","0"
"2010/07/01","00:00","2.723","1.407","1.325","1.027","1.063","0.801","0.656","-0.089","0"
"2010/08/01","00:00","2.425","1.106","0.978","0.755","0.681","0.384","0.371","-0.741","0"
"2010/09/01","00:00","2.083","1.22","1.129","0.814","0.843","0.558","0.43","-0.358","0"
"2010/10/01","00:00","1.713","0.262","0.135","-0.131","-0.136","-0.407","-0.486","-1.421","0"
"2010/11/01","00:00","3.002","0.627","0.456","0.23","0.202","-0.052","-0.121","-1.388","0"
"2010/12/01","00:00","0.919","0.072","-0.059","-0.285","-0.31","-0.561","-0.65","-1.306","0"
"2011/01/01","00:00","1.178","0.377","0.292","-0.033","0.008","-0.276","-0.42","-1.617","0"
"2011/02/01","00:00","3.701","1.207","1.089","0.797","0.786","0.482","0.417","-0.531","0"
"2011/03/01","00:00","2.008","0.679","0.604","0.361","0.364","0.125","0.039","-0.801","0"
"2011/04/01","00:00","1.473","0.6","0.522","0.276","0.272","0.023","-0.085","-1.214","0"
"2011/05/01","00:00","1.417","0.827","0.692","0.466","0.463","0.233","0.151","-0.413","0"
"2011/06/01","00:00","1.532","1.001","0.906","0.673","0.676","0.446","0.354","-0.157","0"
"2011/07/01","00:00","1.929","1.099","1.017","0.761","0.774","0.531","0.407","-0.338","0"
"2011/08/01","00:00","1.739","0.935","0.837","0.584","0.563","0.289","0.217","-0.581","0"
"2011/09/01","00:00","1.827","0.876","0.791","0.525","0.531","0.272","0.151","-0.466","0"
"2011/10/01","00:00","1.936","0.696","0.564","0.315","0.307","0.049","-0.046","-1.483","0"
"2011/11/01","00:00","2.297","0.915","0.748","0.531","0.49","0.233","0.184","-0.633","0"
"2011/12/01","00:00","1.909","0.732","0.62","0.371","0.384","0.148","0.033","-1.083","0"
"2012/01/01","00:00","1.499","0.814","0.738","0.489","0.502","0.266","0.184","-0.463","0"
"2012/02/01","00:00","1.585","0.965","0.843","0.617","0.591","0.338","0.285","-0.761","0"
